ano,mes,ano_mes,corretora,desempenho_mes,desempenho_ano
2019,05,201905,Nova Futura Investimentos,2.61,24.74
2019,05,201905,Planner Corretora,-2.15,3.12
2019,05,201905,Safra Corretora,1.61,12.03
2019,05,201905,Santander Corretora,1.65,15.05
2019,05,201905,Socopa Corretora,4.39,21.3
2019,05,201905,Terra Investimentos,-1.92,8.29
2019,05,201905,XP Investimentos,1.72,14.32
2019,04,201904,Ágora Investimentos,0.2,8.29
2019,04,201904,Ativa Investimentos,5.66,11.4
2019,04,201904,BB Investimentos,-1.01,6.96
2019,04,201904,Coinvalores Corretora,0.3,14.15
2019,04,201904,Elite Investimentos,2.06,13.46
2019,04,201904,Genial Investimentos,3.36,3.68
2019,04,201904,Guide Investimentos,2.07,3.48
2019,04,201904,Mirae Corretora,-4.24,3.78
2019,04,201904,Modalmais,13.52,33.46
2019,04,201904,Necton,2.61,16.47
2019,04,201904,Nova Futura Investimentos,-6.4,21.56
2019,04,201904,Planner Corretora,-2.39,5.39
2019,04,201904,Safra Corretora,2.41,10.25
2019,04,201904,Santander Corretora,1.52,13.18
2019,04,201904,Socopa Corretora,8.91,16.2
2019,04,201904,Terra Investimentos,3.28,10.41
2019,04,201904,XP Investimentos,7.07,12.38
2019,03,201903,Ágora Investimentos,-1.6,8.07
2019,03,201903,Ativa Investimentos,2.8,5.44
2019,03,201903,BB Investimentos,2.38,8.05
2019,03,201903,Coinvalores Corretora,5.68,13.81
2019,03,201903,Elite Investimentos,1.18,11.16
2019,03,201903,Genial Investimentos,1.09,0.31
2019,03,201903,Guide Investimentos,-4.92,1.39
2019,03,201903,Mirae Corretora,-0.73,8.37
2019,03,201903,Modalmais,3.11,17.57
2019,03,201903,Necton,-5.07,13.51
2019,03,201903,Nova Futura Investimentos,2.91,29.87
2019,03,201903,Planner Corretora,-2.42,7.97
2019,03,201903,Safra Corretora,-1.16,7.66
2019,03,201903,Santander Corretora,0.89,11.49
2019,03,201903,Socopa Corretora,-1.51,6.69
2019,03,201903,Terra Investimentos,2.83,6.9
2019,03,201903,XP Investimentos,1.02,4.96
2019,02,201902,Ágora Investimentos,-1.19,9.82
2019,02,201902,Ativa Investimentos,-3.23,2.56
2019,02,201902,BB Investimentos,-2.75,5.53
2019,02,201902,Coinvalores Corretora,-0.2,7.69
2019,02,201902,Elite Investimentos,2.93,9.87
2019,02,201902,Genial Investimentos,-6.8,-0.78
2019,02,201902,Guide Investimentos,0.96,6.63
2019,02,201902,Mirae Corretora,0.21,9.17
2019,02,201902,Modalmais,1.27,14.03
2019,02,201902,Necton,7.46,19.56
2019,02,201902,Nova Futura Investimentos,5.05,26.2
2019,02,201902,Planner Corretora,0.05,10.65
2019,02,201902,Safra Corretora,-0.78,8.93
2019,02,201902,Santander Corretora,0.57,10.5
2019,02,201902,Socopa Corretora,-6.97,8.33
2019,02,201902,Terra Investimentos,-6.79,3.96
2019,02,201902,XP Investimentos,-3.07,3.9
2019,01,201901,Ágora Investimentos,11.15,11.15
2019,01,201901,Ativa Investimentos,5.99,5.99
2019,01,201901,BB Investimentos,8.52,8.52
2019,01,201901,Coinvalores Corretora,7.9,7.9
2019,01,201901,Elite Investimentos,6.74,6.74
2019,01,201901,Genial Investimentos,6.46,6.46
2019,01,201901,Guide Investimentos,5.62,5.62
2019,01,201901,Mirae Corretora,8.94,8.94
2019,01,201901,Modalmais,12.59,12.59
2019,01,201901,Necton,11.27,11.27
2019,01,201901,Nova Futura Investimentos,20.14,20.14
2019,01,201901,Planner Corretora,10.59,10.59
2019,01,201901,Safra Corretora,9.79,9.79
2019,01,201901,Santander Corretora,9.88,9.88
2019,01,201901,Socopa Corretora,16.45,16.45
2019,01,201901,Terra Investimentos,11.53,11.53
2019,01,201901,XP Investimentos,7.2,7.2
2018,12,201812,Ágora Investimentos,-3.19,4.36
2018,12,201812,Ativa Investimentos,-2.74,-3.7
2018,12,201812,BB Investimentos,4.81,33.15
2018,12,201812,Coinvalores Corretora,-0.67,26.58
2018,12,201812,Elite Investimentos,2.12,26.76
2018,12,201812,Genial Investimentos,-3.81,11.21
2018,12,201812,Guide Investimentos,-2.6,36.24
2018,12,201812,Mirae Corretora,-0.34,3.72
2018,12,201812,Modalmais,4.09,19.17
2018,12,201812,Necton,-1.36,16.24
2018,12,201812,Nova Futura Investimentos,-0.67,8.79
2018,12,201812,Planner Corretora,1.77,21.89
2018,12,201812,Santander Corretora,3.02,44.69
2018,12,201812,Terra Investimentos,-8.19,-4.53
2018,12,201812,XP Investimentos,1.72,3.04
2018,10,201810,Ágora Investimentos,3.0,8.32
2018,10,201810,Ativa Investimentos,1.03,1.14
2018,10,201810,BB Investimentos,5.82,21.64
2018,10,201810,Coinvalores Corretora,12.56,20.67
2018,10,201810,Elite Investimentos,11.09,22.34
2018,10,201810,Genial Investimentos,10.82,12.58
2018,10,201810,Guide Investimentos,21.25,33.38
2018,10,201810,Magliano Corretora,11.92,1.58
2018,10,201810,Mirae Corretora,12.15,4.51
2018,10,201810,Modalmais,14.94,14.51
2018,10,201810,Necton,11.93,23.9
2018,10,201810,Nova Futura Investimentos,1.68,14.23
2018,10,201810,Planner Corretora,5.06,16.19
2018,10,201810,Santander Corretora,5.92,30.51
2018,10,201810,Terra Investimentos,10.58,-1.43
2018,10,201810,XP Investimentos,5.97,-0.33
2018,09,201809,Ágora Investimentos,1.08,5.17
2018,09,201809,Ativa Investimentos,-0.04,0.11
2018,09,201809,BB Investimentos,1.59,14.95
2018,09,201809,Coinvalores Corretora,4.7,7.21
2018,09,201809,Elite Investimentos,0.94,10.13
2018,09,201809,Genial Investimentos,-3.91,1.58
2018,09,201809,Guide Investimentos,2.64,10.01
2018,09,201809,Magliano Corretora,2.83,-9.24
2018,09,201809,Mirae Corretora,6.33,-6.81
2018,09,201809,Modalmais,2.81,-0.37
2018,09,201809,Necton,1.82,10.7
2018,09,201809,Nova Futura Investimentos,5.38,12.35
2018,09,201809,Planner Corretora,0.48,10.6
2018,09,201809,Santander Corretora,3.87,23.21
2018,09,201809,Terra Investimentos,2.18,-10.86
2018,09,201809,XP Investimentos,6.2,-5.94
2018,08,201808,Ágora Investimentos,-4.73,4.05
2018,08,201808,Ativa Investimentos,-0.84,0.15
2018,08,201808,BB Investimentos,5.24,13.15
2018,08,201808,Coinvalores Corretora,-4.21,2.39
2018,08,201808,Elite Investimentos,1.65,9.11
2018,08,201808,Genial Investimentos,-5.06,5.71
2018,08,201808,Guide Investimentos,-4.83,7.18
2018,08,201808,Magliano Corretora,-6.37,-11.73
2018,08,201808,Mirae Corretora,-7.56,-12.35
2018,08,201808,Modalmais,-3.09,-3.09
2018,08,201808,Necton,-3.08,8.72
2018,08,201808,Nova Futura Investimentos,-1.15,6.62
2018,08,201808,Planner Corretora,-5.98,10.06
2018,08,201808,Santander Corretora,1.56,18.62
2018,08,201808,Terra Investimentos,-2.43,-12.76
2018,08,201808,XP Investimentos,-5.8,-11.43
2018,07,201807,Ágora Investimentos,5.12,9.21
2018,07,201807,Ativa Investimentos,10.88,0.99
2018,07,201807,BB Investimentos,8.48,7.51
2018,07,201807,Coinvalores Corretora,10.08,6.89
2018,07,201807,Elite Investimentos,9.01,7.34
2018,07,201807,Genial Investimentos,4.17,11.34
2018,07,201807,Guide Investimentos,0.67,12.62
2018,07,201807,Magliano Corretora,6.31,-5.73
2018,07,201807,Mirae Corretora,7.43,-5.18
2018,07,201807,Necton,14.63,12.17
2018,07,201807,Nova Futura Investimentos,7.86,7.86
2018,07,201807,Planner Corretora,4.94,17.06
2018,07,201807,Santander Corretora,4.46,16.79
2018,07,201807,Terra Investimentos,8.7,-10.59
2018,07,201807,XP Investimentos,4.76,-5.97
2018,06,201806,Ágora Investimentos,-7.29,3.9
2018,06,201806,Ativa Investimentos,-7.11,-8.92
2018,06,201806,BB Investimentos,-0.77,-0.89
2018,06,201806,Coinvalores Corretora,-6.93,-2.89
2018,06,201806,Elite Investimentos,-1.54,-1.54
2018,06,201806,Genial Investimentos,-2.99,6.89
2018,06,201806,Guide Investimentos,-0.8,11.87
2018,06,201806,Magliano Corretora,-6.38,-11.33
2018,06,201806,Mirae Corretora,-2.88,-11.74
2018,06,201806,Necton,-5.57,-2.14
2018,06,201806,Planner Corretora,0.61,11.55
2018,06,201806,Santander Corretora,-3.16,11.81
2018,06,201806,Terra Investimentos,-6.11,-17.75
2018,06,201806,XP Investimentos,-10.24,-10.25
2018,05,201805,Ágora Investimentos,-10.28,12.06
2018,05,201805,Ativa Investimentos,-12.6,-1.94
2018,05,201805,BB Investimentos,-11.88,-0.12
2018,05,201805,Coinvalores Corretora,-9.83,4.34
2018,05,201805,Genial Investimentos,-7.98,10.18
