ano,mes,ano_mes,corretora,descricao
2012,11,201211,Ativa Investimentos,"Saem: JBS ON, BR Properties ON"
2012,11,201211,Citi Corretora,"Entram: São Martinho ON, CCR ON"
2012,11,201211,Citi Corretora,"Saem: BR Properties ON, Gerdau PN"
2012,11,201211,Genial Investimentos,"Entram: Lojas Renner ON, Ambev ON, Kroton UNIT"
2012,11,201211,Genial Investimentos,"Saem: Valid ON, Ultrapar ON, Banco do Brasil ON"
2012,11,201211,Guide Investimentos,"Entram: Petrobras PN, Randon Part. PN, Cetip ON, Lojas Renner ON"
2012,11,201211,Guide Investimentos,"Saem: Cielo ON, ALL ON, Copel PNB, Pão de Açúcar PN"
2012,11,201211,Planner Corretora,Entram: Pão de Açúcar PN
2012,11,201211,Planner Corretora,Saem: Arteris ON
2012,11,201211,Rico Corretora,"Entram: Bradesco PN, CCR ON, Duratex ON"
2012,11,201211,Rico Corretora,"Saem: Taesa UNIT, OGX Petróleo ON, Itaú Unibanco PN"
2012,11,201211,Santander Corretora,"Entram: Cosan ON, Qualicorp ON, Lojas Renner ON, Multiplan ON"
2012,11,201211,Santander Corretora,"Saem: Sabesp ON, CCR ON, Localiza ON, Randon Part. PN"
2012,11,201211,Souza Barros CCT,"Entram: Natura ON, Tractebel ON"
2012,11,201211,Souza Barros CCT,"Saem: BR Malls Part. ON, Raia Drogasil ON"
2012,11,201211,XP Investimentos,"Entram: Itaú Unibanco PN, Cosan ON"
2012,11,201211,XP Investimentos,"Saem: Tractebel ON, Time For Fun ON"
2012,12,201212,Ágora Investimentos,"Entram: Raia Drogasil ON, Brasil Brokers ON, Totvs ON"
2012,12,201212,Ágora Investimentos,"Saem: Anhanguera, BR Properties ON, Telefônica BR PN"
2012,12,201212,Ativa Investimentos,"Entram: Autometal ON, Coelce PNA"
2012,12,201212,Ativa Investimentos,"Saem: Technos ON, Kroton UNIT"
2012,12,201212,Citi Corretora,"Entram: BRF ON, Totvs ON, Even ON, Vale PNA"
2012,12,201212,Citi Corretora,"Saem: Sabesp ON, São Martinho ON, Petrobras PN, Ambev PN"
2012,12,201212,Genial Investimentos,"Entram: Pão de Açúcar PN, Ultrapar ON, Kroton ON"
2012,12,201212,Genial Investimentos,"Saem: Ambev ON, Weg ON, Kroton UNIT"
2012,12,201212,Guide Investimentos,"Entram: Vale PNA, BRF ON, Coelce PNA"
2012,12,201212,Guide Investimentos,"Saem: Cetip ON, Lojas Renner ON, MMX ON"
2012,12,201212,Planner Corretora,"Entram: Eztec ON, Arteris ON, Totvs ON"
2012,12,201212,Planner Corretora,"Saem: Bradesco PN, Telefônica BR PN, Pão de Açúcar PN"
2012,12,201212,Rico Corretora,"Entram: Petrobras PN, JHSF Part. ON, Banco do Brasil ON, Grendene ON"
2012,12,201212,Rico Corretora,"Saem: Bradesco PN, Vale PNA, CCR ON, Gerdau PN"
2012,12,201212,Santander Corretora,"Entram: Kroton ON, IMC Holdings ON, Sabesp ON, Vale PNA"
2012,12,201212,Santander Corretora,"Saem: Cosan ON, Kroton UNIT, Lojas Renner ON, Multiplan ON"
2012,12,201212,Souza Barros CCT,Entram: Lojas Renner ON
2012,12,201212,Souza Barros CCT,Saem: Cia. Hering ON
2012,12,201212,XP Investimentos,"Entram: Brasil Insurance ON, PDG Realty ON"
2012,12,201212,XP Investimentos,"Saem: IMC Holdings ON, Arteris ON"
2013,01,201301,Ágora Investimentos,"Entram: Cosan ON, TIM Part. ON, Hypermarcas ON, ALL ON"
2013,01,201301,Ágora Investimentos,"Saem: ABC Brasil PN, BM&FBovespa ON, Brasil Brokers ON, Totvs ON"
2013,01,201301,Ativa Investimentos,Entram: Equatorial ON
2013,01,201301,Ativa Investimentos,Saem: Coelce PNA
2013,01,201301,Citi Corretora,"Entram: TIM Part. ON, Ultrapar ON"
2013,01,201301,Citi Corretora,"Saem: BRF ON, Vale PNA"
2013,01,201301,Genial Investimentos,"Entram: BM&FBovespa ON, Randon Part. PN"
2013,01,201301,Genial Investimentos,"Saem: Pão de Açúcar PN, Ultrapar ON, Kroton ON"
2013,01,201301,Guide Investimentos,"Entram: BM&FBovespa ON, Gerdau PN"
2013,01,201301,Guide Investimentos,"Saem: BRF ON, Coelce PNA"
